sourceSize,dpiPercent,targetPixels,decodeMedianMs,decodeP95Ms,renderMedianMs,renderP95Ms,managedDecodeAllocationMedianBytes,encodedBytesNineAssets,decodedPixelBytesProxyNineTiles,samples
128,100,32,0.312900,0.414200,0.160900,0.194900,5072,51289,36864,216
512,100,32,1.524200,2.296400,0.157200,0.219600,5072,230371,36864,216
128,125,40,0.309400,0.392300,0.154900,0.191800,5072,51289,57600,216
512,125,40,1.547400,2.316200,0.163600,0.234600,5072,230371,57600,216
128,150,48,0.315100,0.488000,0.171200,0.232200,5072,51289,82944,216
512,150,48,1.549200,2.339400,0.167400,0.225000,5072,230371,82944,216
128,175,56,0.311000,0.417800,0.184700,0.213100,5072,51289,112896,216
512,175,56,1.565000,2.427800,0.183300,0.229900,5072,230371,112896,216
128,200,64,0.316600,0.490400,0.206500,0.290300,5072,51289,147456,216
512,200,64,1.571500,2.396600,0.200700,0.264900,5072,230371,147456,216
128,225,72,0.319800,0.418500,0.218200,0.263500,5072,51289,186624,216
512,225,72,1.580600,2.460300,0.193300,0.259600,5072,230371,186624,216
128,250,80,0.311200,0.390200,0.226000,0.307100,5072,51289,230400,216
512,250,80,1.634000,2.553600,0.221800,0.349600,5072,230371,230400,216
