dpiPercent,targetPixels,emoji,meanAbsoluteChannelDifference,rootMeanSquareDifference,edgeEnergy128,edgeEnergy512,edgeEnergy512DeltaPercent
100,32,dna,1.408203,3.091698,17.216603,17.342754,0.732728
100,32,gear,0.918457,2.309119,10.416472,10.382353,-0.327551
100,32,mirror-ball,1.314453,2.852750,11.507867,11.284968,-1.936926
100,32,chequered-flag,1.094482,2.360099,24.126991,24.010091,-0.484520
100,32,woman-technologist-medium,0.622559,1.750697,14.393754,14.323458,-0.488381
100,32,family,1.417480,3.198434,34.797086,35.016649,0.630981
100,32,butterfly,1.406982,2.840701,22.696077,22.664262,-0.140180
100,32,bicycle,2.656494,5.075480,19.023030,18.989853,-0.174405
100,32,eye-speech-bubble,0.394043,1.278007,34.665475,34.596345,-0.199422
125,40,dna,1.631250,4.022787,14.183496,14.337156,1.083375
125,40,gear,1.033906,2.923691,8.671795,8.655542,-0.187419
125,40,mirror-ball,1.325312,3.212281,10.148966,9.917351,-2.282157
125,40,chequered-flag,1.317656,3.231607,20.002466,19.980717,-0.108731
125,40,woman-technologist-medium,0.755625,2.421583,11.789032,11.689592,-0.843490
125,40,family,1.979531,4.472468,29.098619,29.417488,1.095822
125,40,butterfly,1.486563,3.370228,20.267751,20.345078,0.381525
125,40,bicycle,2.800156,5.900755,17.574683,17.579119,0.025242
125,40,eye-speech-bubble,0.578438,2.070703,28.410284,28.439914,0.104293
150,48,dna,1.537869,4.179447,11.944166,12.076529,1.108178
150,48,gear,1.054036,3.414538,7.268254,7.256946,-0.155581
150,48,mirror-ball,1.366102,3.805977,9.042560,8.844230,-2.193292
150,48,chequered-flag,1.371202,3.724348,17.174020,17.137304,-0.213793
150,48,woman-technologist-medium,0.803928,2.831705,9.877435,9.867607,-0.099503
150,48,family,1.507161,4.249847,25.107741,25.289724,0.724808
150,48,butterfly,1.577148,3.824250,18.164971,18.290034,0.688487
150,48,bicycle,2.893989,6.339199,16.158401,16.157428,-0.006020
150,48,eye-speech-bubble,0.575738,2.217405,23.630535,23.631860,0.005604
175,56,dna,1.697624,4.851945,10.447344,10.578337,1.253834
175,56,gear,1.030772,3.629703,6.233431,6.224159,-0.148746
175,56,mirror-ball,1.434949,4.286030,8.320871,8.136455,-2.216310
175,56,chequered-flag,1.464923,4.180669,15.030740,15.053870,0.153885
175,56,woman-technologist-medium,0.949857,3.524728,8.511783,8.480032,-0.373026
175,56,family,2.257175,6.186089,21.871405,22.101488,1.051979
175,56,butterfly,1.620695,4.271741,16.464886,16.618814,0.934885
175,56,bicycle,2.989158,6.777462,14.832280,14.930914,0.664997
175,56,eye-speech-bubble,0.649793,2.653288,20.236321,20.236037,-0.001404
200,64,dna,1.442078,4.353596,9.200017,9.274810,0.812972
200,64,gear,0.921875,3.237751,5.466412,5.457191,-0.168681
200,64,mirror-ball,1.337646,3.817747,7.801497,7.512230,-3.707837
200,64,chequered-flag,1.188110,3.370584,13.497089,13.457322,-0.294635
200,64,woman-technologist-medium,0.627991,2.469133,7.475204,7.427324,-0.640523
200,64,family,1.399353,4.367746,19.634165,19.604434,-0.151422
200,64,butterfly,1.452820,3.771787,15.033422,14.992380,-0.273005
200,64,bicycle,2.713013,6.247392,13.880651,13.725446,-1.118143
200,64,eye-speech-bubble,0.408752,1.863588,17.683018,17.673910,-0.051507
225,72,dna,1.810909,5.842672,8.237364,8.333182,1.163216
225,72,gear,1.189959,4.692980,4.872421,4.875012,0.053166
225,72,mirror-ball,1.582755,5.201644,7.026456,6.961799,-0.920194
225,72,chequered-flag,1.546537,4.953852,12.009946,12.061795,0.431721
225,72,woman-technologist-medium,0.930459,3.876817,6.628415,6.618803,-0.145006
225,72,family,2.407359,7.759331,17.441182,17.445547,0.025022
225,72,butterfly,1.799769,5.227040,13.524566,13.758434,1.729211
225,72,bicycle,3.073495,7.699607,12.530331,12.680298,1.196829
225,72,eye-speech-bubble,0.828463,3.711265,15.689586,15.691230,0.010475
250,80,dna,1.911211,6.435494,7.423941,7.550591,1.705971
250,80,gear,1.172539,4.730722,4.388369,4.385379,-0.068128
250,80,mirror-ball,1.677383,5.642462,6.526039,6.516552,-0.145376
250,80,chequered-flag,1.714727,5.697076,10.862661,10.923049,0.555923
250,80,woman-technologist-medium,1.010781,4.190092,5.976984,5.954828,-0.370688
250,80,family,2.698672,7.915466,15.714950,15.763820,0.310980
250,80,butterfly,1.836250,5.570346,12.387647,12.532258,1.167378
250,80,bicycle,3.311211,8.698830,11.501692,11.717896,1.879761
250,80,eye-speech-bubble,0.926562,4.382930,14.098327,14.092766,-0.039449
